kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Bulukumba,2018,3205.54,178.0,531.4,14.65,3.28,736.06,1313.97,181.5,55.91,317.01,277.46,385.26,1.63,508.42,254.14,91.79,65.32,8121.33,67.7,7.48,5.05,0.35,3.62,416.77,31.55,23.7,31.25,0.5718,CUKUP INKLUSIF
Bulukumba,2019,3273.77,183.59,593.9,15.71,3.33,760.12,1444.43,199.06,58.83,341.29,304.23,393.67,1.8,561.04,262.55,97.03,73.1,8567.46,68.28,7.26,5.49,0.38,3.06,418.63,33.96,28.74,30.49,0.5629,CUKUP INKLUSIF
Bulukumba,2020,3237.17,187.42,572.55,16.3,3.5,798.97,1426.38,170.37,57.66,381.98,331.6,397.74,1.72,558.61,286.88,103.15,72.22,8604.2,68.99,7.1,0.43,0.37,3.42,437.61,33.34,23.73,30.0,0.5011,CUKUP INKLUSIF
Bulukumba,2021,3355.17,193.16,605.31,17.75,3.5,839.87,1519.22,180.51,61.05,398.86,356.59,410.78,1.84,582.95,298.7,109.74,78.58,9013.58,69.62,7.43,4.76,0.36,3.14,441.2,35.97,30.1,31.31,0.5811,CUKUP INKLUSIF
Bulukumba,2022,3375.52,188.7,656.24,20.0,3.84,899.64,1600.79,198.87,73.25,425.95,384.41,436.21,1.78,580.57,298.13,120.79,92.43,9357.11,70.34,7.39,3.81,0.36,1.26,445.82,38.66,26.43,31.29,0.5746,CUKUP INKLUSIF
Bulukumba,2023,3411.73,202.23,689.67,22.11,3.92,996.53,1668.81,209.95,78.86,447.97,414.72,457.93,1.93,593.59,308.69,129.58,103.19,9741.4,71.21,7.22,4.11,0.38,1.31,450.33,41.9,30.48,30.65,0.574,CUKUP INKLUSIF
Bulukumba,2024,3562.91,204.05,714.57,23.49,4.13,1009.49,1769.39,221.14,85.09,473.45,446.24,482.06,2.04,607.77,325.99,139.93,118.07,10189.82,71.97,6.71,4.6,0.33,2.23,454.72,44.48,36.48,28.6,0.6264,CUKUP INKLUSIF
Bulukumba,2025,3680.22,212.51,754.96,22.75,4.2,1052.96,1862.16,226.41,94.03,495.93,480.53,517.55,2.19,610.17,344.04,148.88,132.58,10642.08,75.26,6.06,4.44,0.32,2.12,459.0,47.11,31.02,25.88,0.6674,INKLUSIF
Enrekang,2010,1145.53,68.4,165.19,3.25,2.4,355.83,237.37,24.86,21.54,94.61,57.77,64.15,0.59,245.68,56.27,48.7,12.98,2605.14,66.27,16.84,5.78,0.44,4.12,190.25,13.64,12.11,32.1,0.5013,CUKUP INKLUSIF
Enrekang,2011,1210.78,73.7,197.79,3.68,3.37,384.59,263.92,27.39,22.77,105.34,66.38,71.78,0.71,256.15,60.39,52.63,14.19,2815.55,67.03,15.18,8.08,0.44,6.66,192.82,15.81,13.14,29.2,0.5446,CUKUP INKLUSIF
Enrekang,2012,1243.93,89.56,224.15,4.23,3.6,417.13,307.17,29.05,23.51,123.59,76.04,79.98,0.82,260.6,65.64,56.92,15.29,3021.2,67.74,14.45,7.3,0.43,3.05,194.61,17.77,14.17,28.2,0.5479,CUKUP INKLUSIF
Enrekang,2013,1285.9,99.89,243.96,4.79,3.88,450.83,327.81,30.72,24.36,142.16,83.28,86.99,0.87,263.79,70.1,61.84,16.32,3197.5,68.39,15.11,5.84,0.43,1.61,196.39,20.98,15.2,29.7,0.5328,CUKUP INKLUSIF
Enrekang,2014,1386.57,108.03,257.81,5.4,3.89,469.35,345.53,32.02,26.86,143.86,89.22,94.14,0.91,269.42,71.52,66.91,17.69,3389.15,69.37,13.9,5.99,0.42,1.4,198.19,23.37,16.23,27.6,0.5532,CUKUP INKLUSIF
Enrekang,2015,1487.48,115.62,260.08,5.3,3.83,508.94,369.98,34.93,28.32,156.05,95.88,101.99,0.97,287.1,74.12,72.99,19.13,3622.71,70.03,13.82,6.91,0.4,1.33,199.87,26.2,17.27,27.6,0.589,CUKUP INKLUSIF
Enrekang,2016,1605.28,127.88,279.38,5.82,4.14,546.55,409.38,38.36,30.36,172.61,108.77,108.87,1.0,285.69,79.12,77.21,19.18,3899.59,70.79,13.41,7.63,0.39,1.33,201.84,29.22,18.3,26.98,0.6156,CUKUP INKLUSIF
