kabupaten,tahun,Pelayanan_Umum,Ketertiban_aman,Ekonomi,Lingk_hidup,Perum_Fasum,Kesehatan,Pariwisata,Pendidikan,Perlindungan_Sosial,Total,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin
Bulukumba,2015,280.4745001,10.6529654,80.34531471,21.23568063,186.8837708,205.4886984,9.648651082,549.8430107,26.1380008,1370.710593,2916.53,121.46,470.35,11.46,2.83,565.18,991.35,142.98,37.54,241.4,225.56,281.34,1.28,449.7,196.21,70.73,48.41,6774.32,65.58,8.15,5.62,0.39,3,410.24,23.31,27.95,33.36
Bulukumba,2016,10.67538579,79.47816113,1.082205632,3.62099035,1.274767978,58.03760028,64.4280081,3.099530004,96.90520234,318.6018516,3041.37,139.55,495.89,12.96,2.95,614.38,1099.11,152.2,42.58,265.24,255.51,320.27,1.35,447.55,212.61,76.75,52.59,7232.84,66.46,8.06,6.77,0.38,3,412.68,26.06,37.39,33.25
Bulukumba,2017,330.5042681,14.70749255,69.65382723,263.9911064,35.51508436,269.8619208,11.66167652,461.2324377,33.22491649,1490.35273,3203.65,157.74,511.17,13.7,3.08,671.64,1197.5,165.81,47.87,290.11,263.32,360.44,1.48,469.04,232.9,83.7,57.75,7730.91,67.08,7.97,6.89,0.32,3.73,414.79,29.03,36.96,33.1
Bulukumba,2018,335.6963717,14.45758991,61.41178202,14.98392582,209.2867338,254.6193379,11.78641828,476.0189928,24.01372448,1402.274877,3205.54,178,531.4,14.65,3.28,736.06,1313.97,181.5,55.91,317.01,277.46,385.26,1.63,508.42,254.14,91.79,65.32,8121.33,67.7,7.48,5.05,0.35,3.62,416.77,31.55,23.7,31.25
Bulukumba,2020,385.3487559,10.43118991,58.98332632,12.89955586,179.0728529,279.3755438,8.5758571,474.2438636,19.58077756,1428.511723,3237.17,187.42,572.55,16.3,3.5,798.97,1426.38,170.37,57.66,381.98,331.6,397.74,1.72,558.61,286.88,103.15,72.22,8604.2,68.99,7.1,0.43,0.37,3.42,437.61,33.34,23.73,30
Bulukumba,2021,329.3360471,18.58683485,153.5210883,32.82189728,28.77856107,322.2287281,8.66447989,445.0531364,15.51407451,1354.504848,3355.17,193.16,605.31,17.75,3.5,839.87,1519.22,180.51,61.05,398.86,356.59,410.78,1.84,582.95,298.7,109.74,78.58,9013.58,69.62,7.43,4.76,0.36,3.14,441.2,35.97,30.1,31.31
Bulukumba,2022,346.7271083,26.34642301,240.8670214,23.16116499,28.88131693,259.2198442,8.943400959,406.3433946,5.601492679,1346.091167,3375.52,188.7,656.24,20,3.84,899.64,1600.79,198.87,73.25,425.95,384.41,436.21,1.78,580.57,298.13,120.79,92.43,9357.11,70.34,7.39,3.81,0.36,1.26,445.82,38.66,26.43,31.29
Bulukumba,2023,360.4394798,13.9043647,318.3856377,23.39717982,23.73871423,311.282933,10.89884318,477.1361382,4.720546922,1543.903837,3411.73,202.23,689.67,22.11,3.92,996.53,1668.81,209.95,78.86,447.97,414.72,457.93,1.93,593.59,308.69,129.58,103.19,9741.4,71.21,7.22,4.11,0.38,1.31,450.33,41.9,30.48,30.65
Bulukumba,2024,372.2965848,0,0,0,0,354.8623468,8.977019011,557.8870144,0,1190.345124,3562.91,204.05,714.57,23.49,4.13,1009.49,1769.39,221.14,85.09,473.45,446.24,482.06,2.04,607.77,325.99,139.93,118.07,10189.82,71.97,6.71,4.6,0.33,2.23,454.72,44.48,36.48,28.6
Bulukumba,2025,387.8483012,0,0,0,0,349.3894492,10.09420066,573.9285153,0,1285.044619,3680.22,212.51,754.96,22.75,4.2,1052.96,1862.16,226.41,94.03,495.93,480.53,517.55,2.19,610.17,344.04,148.88,132.58,10642.08,75.26,6.06,4.44,0.32,2.12,459,47.11,31.02,25.88
Enrekang,2014,164.1153336,3.555189833,81.76142666,41.8784567,58.33684441,94.95452484,0.7773166693,204.0379454,7.348099234,656.7651373,1386.57,108.03,257.81,5.4,3.89,469.35,345.53,32.02,26.86,143.86,89.22,94.14,0.91,269.42,71.52,66.91,17.69,3389.15,69.37,13.9,5.99,0.42,1.4,198.19,23.37,16.23,27.6
Enrekang,2015,212.0274883,3.391805396,101.3525564,60.56731924,82.77619185,127.4561568,0.5276712504,304.9295567,10.08141891,903.1101649,1487.48,115.62,260.08,5.3,3.83,508.94,369.98,34.93,28.32,156.05,95.88,101.99,0.97,287.1,74.12,72.99,19.13,3622.71,70.03,13.82,6.91,0.4,1.33,199.87,26.2,17.27,27.6
Enrekang,2016,163.4876792,7.594481595,167.2300057,100.8723751,48.35386612,144.7596628,0.2638356252,300.583145,12.21008143,945.3551326,1605.28,127.88,279.38,5.82,4.14,546.55,409.38,38.36,30.36,172.61,108.77,108.87,1,285.69,79.12,77.21,19.18,3899.59,70.79,13.41,7.63,0.39,1.33,201.84,29.22,18.3,26.98
Enrekang,2018,327.9150817,0,67.04346679,138.9402892,0,159.9861107,0,301.3563151,11.24436162,1006.485625,1642.78,151.5,320.54,6.56,4.92,637.41,471.53,47.09,36.55,206.99,119.18,122.99,1.2,325.15,91.94,91.87,23.86,4302.05,72.15,12.49,3.26,0.39,1.66,205.25,32.81,18.57,25.53
Enrekang,2019,330.9971273,0,62.07117262,116.5251768,0,189.8371859,0,338.7221874,12.46464037,1050.61749,1726.32,152.12,374,6.83,5.08,665.2,487.24,48.57,39.69,215.77,122.83,129.66,1.32,337.42,98.2,99.08,26.23,4535.55,72.66,12.33,5.43,0.36,2.15,206.88,35.28,23.7,25.4
Enrekang,2020,314.843633,18.43437504,51.61461669,8.172042305,142.8440609,201.5277255,0,354.9271589,8.983508419,1101.347121,1729.39,154.6,365.27,7.25,5.53,677.35,493.12,45.78,38.54,240.03,123.85,136.52,1.3,337.83,103.44,106.56,25.86,4592.23,72.76,12.17,1.25,0.37,2.44,225.17,33.54,24.13,25.25
Enrekang,2021,276.6765198,11.50348928,106.5641371,180.3704629,4.714468439,220.0019432,0.2936242639,303.5158168,11.01056714,1114.651029,1906.33,157.59,379.82,7.73,5.88,698.85,519.06,49.46,38.91,267.15,129.37,141.91,1.33,331.13,108.58,113.18,28.1,4884.37,72.91,12.47,6.36,0.36,2.34,227.69,36.03,22.79,26.13
Enrekang,2022,280.8950408,7.509698437,305.3536656,13.79133075,27.11770285,230.9191535,6.472607288,385.7316762,4.509964857,1262.30084,1922.35,162.71,422.68,7.84,6.19,713.83,545.08,55.5,43.97,277.08,134.58,147.46,1.53,358,112.73,122.16,31.7,5065.36,73.39,12.39,3.71,0.35,0.58,231.12,39.05,23.38,26.15
Enrekang,2023,692.4568055,1.0183205,163.1774223,2.249503209,9.217337215,126.794153,6.554474408,70.82842265,1.519686136,1073.816125,1943.82,169.87,433.04,8.41,6.5,734.9,562.61,59.26,46.79,289.97,141.19,151.96,1.62,348.5,119.22,130.69,35.06,5183.42,73.89,12.69,2.33,0.37,1.53,234.57,41.15,23.09,26.97
Enrekang,2024,300.938179,0,0,0,0,251.1845057,1.17647955,360.2644736,0,1093.340896,2057.54,174.12,458.44,8.71,6.62,724.34,588.73,61.86,48.74,301.22,146.28,156.51,1.64,377.42,130.87,141.83,38.83,5423.7,74.61,11.25,4.64,0.34,1.51,238.1,44.01,27.57,24.06
Enrekang,2025,508.8283218,0,28.30664262,0,0,204.5806106,4.306904622,243.9207765,0,1072.923444,2183.69,178.68,502.83,9.09,6.91,705.88,622.28,64.9,53.24,318.04,156.21,163.27,1.73,383.66,135.31,148.4,42.99,5677.13,76.5,10.73,4.67,0.36,1.78,241.7,46.93,28.55,23.09
Gowa,2014,153.2815128,10.55273366,108.4295896,3.723481975,300.4306928,145.7189031,13.08050738,508.5308529,14.89647881,1258.644753,3116.77,262.61,622.48,19.11,14.04,1018.64,1126.02,141.46,232.75,964.47,222.79,671.81,11.57,550.38,439.27,174.64,131.38,9720.17,66.12,8,7.17,0.4,2.3,709.39,16.98,32.63,57
Gowa,2015,301.7099626,11.49962933,93.4147913,14.27269186,248.0407697,207.1282494,9.209873902,565.5199444,21.32502193,1472.120934,3232.8,295.06,663.81,18.91,14.08,1093.06,1197.77,151.31,247.75,1064.3,240.24,776.6,12.18,570.42,468.94,191.46,141.52,10380.22,66.87,8.27,6.79,0.42,4.96,721.62,19.03,33.43,59.47
Gowa,2016,89.54017322,228.387633,12.9941287,4.584880603,5.101519923,374.0603597,574.4544097,19.57490207,293.8487518,1602.546759,3401.02,335.04,717.79,21.59,14.69,1182.24,1324.67,156.26,267.27,1173.64,274.58,846.88,13.08,583.12,497.64,204.7,151.83,11166.02,67.7,8.4,7.57,0.41,4.96,732.59,21.04,34.22,61.52
Gowa,2017,402.326683,10.91181652,66.49776761,355.0011298,12.35655373,296.1222431,6.662412081,557.2479665,20.83595417,1727.962526,3555.19,379.94,779.61,23.07,15.68,1281.85,1443.82,166.75,294.35,1289.48,279.05,909.8,14.15,610.19,540.49,219.05,168.91,11971.36,68.33,8.42,7.21,0.4,6.14,742.34,22.98,35.02,62.77
