kabupaten;tahun;Pelayanan_Umum;Ketertiban_aman;Ekonomi;Lingk_hidup;Perum_Fasum;Kesehatan;Pariwisata;Pendidikan;Perlindungan_Sosial;Total;A_Pertanian_KP;B_Pertambangan;C_Industri_Pengolahan;D_Pengadaan_LG;E_Pengadaan_Air_dll;F_Konstruksi;G_Perdagangan_Besar_dll;H_Transportasi;I_Penyediaan_AkMamin;J_Infokom;K_Jasa_Keuangan;L_Real_Estate;M_N_Jasa_Perusahaan;O_Administrasi_Pem;P_Jasa_Pendidikan;Q_Jasa_KesSos;R_S_T_U_Jasa_Lain;PDRB;ipm;miskin;pertumbuhan;gini;unemploy;pop_ribujiwa;pdrb_perkap;pct_formal;pend_miskin
Bulukumba;2018;335,7;14,5;61,4;15,0;209,3;254,6;11,8;476,0;24,0;1402,3;3205,54;178;531,4;14,65;3,28;736,06;1313,97;181,5;55,91;317,01;277,46;385,26;1,63;508,42;254,14;91,79;65,32;8121,33;67,7;7,48;5,05;0,35;3,62;416,77;31,55;23,7;31,25
Bulukumba;2019;355,5;12,0;77,2;15,9;198,1;293,5;15,4;463,8;25,6;1456,9;3273,77;183,59;593,9;15,71;3,33;760,12;1444,43;199,06;58,83;341,29;304,23;393,67;1,8;561,04;262,55;97,03;73,1;8567,46;68,28;7,26;5,49;0,38;3,06;418,63;33,96;28,74;30,49
Bulukumba;2020;385,3;10,4;59,0;12,9;179,1;279,4;8,6;474,2;19,6;1428,5;3237,17;187,42;572,55;16,3;3,5;798,97;1426,38;170,37;57,66;381,98;331,6;397,74;1,72;558,61;286,88;103,15;72,22;8604,2;68,99;7,1;0,43;0,37;3,42;437,61;33,34;23,73;30
Bulukumba;2021;329,3;18,6;153,5;32,8;28,8;322,2;8,7;445,1;15,5;1354,5;3355,17;193,16;605,31;17,75;3,5;839,87;1519,22;180,51;61,05;398,86;356,59;410,78;1,84;582,95;298,7;109,74;78,58;9013,58;69,62;7,43;4,76;0,36;3,14;441,2;35,97;30,1;31,31
Bulukumba;2022;346,7;26,3;240,9;23,2;28,9;259,2;8,9;406,3;5,6;1346,1;3375,52;188,7;656,24;20;3,84;899,64;1600,79;198,87;73,25;425,95;384,41;436,21;1,78;580,57;298,13;120,79;92,43;9357,11;70,34;7,39;3,81;0,36;1,26;445,82;38,66;26,43;31,29
Bulukumba;2023;360,4;13,9;318,4;23,4;23,7;311,3;10,9;477,1;4,7;1543,9;3411,73;202,23;689,67;22,11;3,92;996,53;1668,81;209,95;78,86;447,97;414,72;457,93;1,93;593,59;308,69;129,58;103,19;9741,4;71,21;7,22;4,11;0,38;1,31;450,33;41,9;30,48;30,65
Bulukumba;2024;372,3;0,0;0,0;0,0;0,0;354,9;9,0;557,9;0,0;1190,3;3562,91;204,05;714,57;23,49;4,13;1009,49;1769,39;221,14;85,09;473,45;446,24;482,06;2,04;607,77;325,99;139,93;118,07;10189,82;71,97;6,71;4,6;0,33;2,23;454,72;44,48;36,48;28,6
Bulukumba;2025;387,8;0,0;0,0;0,0;0,0;349,4;10,1;573,9;0,0;1285,0;3680,22;212,51;754,96;22,75;4,2;1052,96;1862,16;226,41;94,03;495,93;480,53;517,55;2,19;610,17;344,04;148,88;132,58;10642,08;75,26;6,06;4,44;0,32;2,12;459;47,11;31,02;25,88
Enrekang;2014;164,1;3,6;81,8;41,9;58,3;95,0;0,8;204,0;7,3;656,8;1386,57;108,03;257,81;5,4;3,89;469,35;345,53;32,02;26,86;143,86;89,22;94,14;0,91;269,42;71,52;66,91;17,69;3389,15;69,37;13,9;5,99;0,42;1,4;198,19;23,37;16,23;27,6
Enrekang;2015;212,0;3,4;101,4;60,6;82,8;127,5;0,5;304,9;10,1;903,1;1487,48;115,62;260,08;5,3;3,83;508,94;369,98;34,93;28,32;156,05;95,88;101,99;0,97;287,1;74,12;72,99;19,13;3622,71;70,03;13,82;6,91;0,4;1,33;199,87;26,2;17,27;27,6
